"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Geology;Yes;Hot __;September;CHU;Chang’an University;Yes;Geology(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Material;Yes;Hot __;September;CHU;Chang’an University;Yes;Materials Science and Technology(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Road, Bridge and River-crossing Engineering(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Vehicle Engineering(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Logistics Engineering(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Automobile Service Engineering(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Intelligent Vehicle Engineering(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Others;Yes;Hot __;September;CHU;Chang’an University;Yes;Land Resource Management(10 open class);Lisa;;;;;;Xi'an, Shaanxi ;59-4ICU RANKING;"211 
Double First-Class";May 31th;10/20;16000;7200(Double room);Allowed for master and phd only;"Type A: Cover  50% tuition fee and with stipend 1500*10 months (stipend only for the first year)
Type B: Cover accommodation fee (only for North campus) and with stipend 1500*10 months(stipend only for the first year)";No;No;No;25;EFFST, Duolingo, TOEFL;B2622-CHU-Chang_an University.pdf;CAU;"IELTS 6.0, 
TOEFL 80, 
Duolingo 100";;;;;;;;;;;;;;
Chemical;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Chemical Engineering&Technology;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Chemical;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Applied Chemistry;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Pharmacy;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Pharmaceutical Science;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Others;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Environmental Engineering;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Mechanical;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Mechanical Engineering;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Electrical;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Electrical Engineering& Automation;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Computer Science & Technology;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Software;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Software Engineering;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Civil Engineering;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Business Administration;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;International Economics & Trade;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;Finance;Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ZJUT;Zhejiang University of Technology;Yes;International Economics & Trade(Specialized in Chinese Business);Vicky;;;;;;"Hangzhou
Zhejiang";62-SHANGHAI RANKING;N/A;30th,May;70/100;18800;"Pingfeng Campus: 
3,500/year(quad room); 
5,300/year(double room)";Allowed;"Type A:20000RMB(only for first year)
Type B: 4 years tuition fee
Type C: 1 year tuition fee
Type D: 1 semester tuition fee
Type E: 1 year accommodation fee(quad room)";"Yes
(1 min)";No;Yes;18-25;IELTS, TOEFL, EFFST;B2624-ZJUT-Zhejiang University of Technology .docx;ZJUT;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;BUPT;Beijing University of Posts and Telecommunication;Yes;Computer Science andTechnology;Vicky;;;;;;Beijing;60-SHANGHAI RANKING;"211 
Double First-Class";30th April;;24600;"Xitucheng Campus_
15000/year(Double room)";Allowed;"Type A_Free tuition and accomodation,stipend 2500/month(12 months in total) for the 1st year
Type B_Free tuition and accomodation for the 1st year
Type C_Free tuition for the 1st year

(From the 2nd year on, the scholarship will be decided through students' transcript and performance from the previous year.The average score should be above 80)
";Yes;Yes;Yes;30;TOEFL, IELTS;B2628-BUPT-Beijing University of Posts and Telecommunication.docx;BUPT;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;UESTC;University of Electronic Science and Technology of China;Yes;Computer Science and Technology;Lisa;;;;;;Chengdu, Sichuan;16-US NEWS;"985 Project, 
211, Double First-Class";30th. June;13/20,Both mathematical and physics need above 13;20000;"Double Room: 6000/year
Quad Room:3000/year";Allowed;Pay tuition fee first then refund RMB2000/month*12months,free on campus accommodation, Cover 800RMB medical insurance(Students only need pay 200) of 4 years;No;Yes;Yes;18-25;TOEFL, IELTS;UESTC.pdf;UESTC;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;UESTC;University of Electronic Science and Technology of China;Yes;Software Engineering;Lisa;;;;;;Chengdu, Sichuan;16-US NEWS;"985 Project, 
211, Double First-Class";30th. June;13/20,Both mathematical and physics need above 13;20000;"Double Room: 6000/year
Quad Room:3000/year";Allowed;Pay tuition fee first then refund RMB2000/month*12months,free on campus accommodation, Cover 800RMB medical insurance(Students only need pay 200) of 4 years;No;Yes;Yes;18-25;TOEFL, IELTS;UESTC.pdf;UESTC;;;;;;;;;;;;;;;
Electrical;Yes;Hot __;September;UESTC;University of Electronic Science and Technology of China;Yes;Electronic Information Engineering;Lisa;;;;;;Chengdu, Sichuan;16-US NEWS;"985 Project, 
211, Double First-Class";30th. June;13/20,Both mathematical and physics need above 13;20000;"Double Room: 6000/year
Quad Room:3000/year";Allowed;Pay tuition fee first then refund RMB2000/month*12months,free on campus accommodation, Cover 800RMB medical insurance(Students only need pay 200) of 4 years;No;Yes;Yes;18-25;TOEFL, IELTS;UESTC.pdf;UESTC;;;;;;;;;;;;;;;
Computer;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Computer Science and Technology;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Others;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Optoelectronic Information Science and Engineering;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Mechanical;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Mechanical Design, Manufacturing and Automation;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Energy;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Energy and Power Engineering;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Civil Engineering;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Architecture;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Architecture;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Business;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes;Business Administration;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
Others;Yes;Hot __;September;HITSZ;Harbin Institute of Technology(shenzhen);Yes; Economics;Lisa;;;;;;Shenzhen,Guangdong Province;14-SHANGHAI RANKING;"985 Project, 
211, Double First-Class";20th.May;CSCA and Entrance Exam;30000;" Triple bedroom  or Quad room,Due to limited availability,first-book-first-served"" ,Accommodation fees and utility charges will be determined by the rates announced at the time of dormitory application.";Allowed;"   Type A:Cover 100% tuition fee + CNY1,000/Month
   Type B:Cover 100% tuition fee
   Type C:Cover 80% tuition fee
   Type D:Cover 70% tuition fee
   Type E:CNY10000/year
Note:
   Need pay tuition fee RMB30000 first,Tuition fee is non-refundable once paid.University Scholarship Tuition Reduction: Upon official registration, any portion of the tuition covered by a university scholarship will be reimbursed to the student's 
account in a single payment.
  Type E scholarships have limited quotas,and may be concurrently awarded with the HITSZ Entrance Scholarship.";No;Yes;Yes;18-25;Duolingo, TOEFL, IELTS;B2631-HITSZ-Harbin Institute of Technology (Shenzhen).pdf;HITSZ;TOEFL≥80, IELTS ≥6.0 (no sub-test lower than 5.5) , or Duolingo≥115;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
