"Program Name","Level","Duration","Tuition Fee","Entry Requirements","Special Exams","Location","Start Date","Application Deadline","Application Fee","Servıce Fee","Program Language","University Name","CSCA Exam Required"
"Master of Translation and Interpreting","Master","2 Years","RMB 29,000 per year","Applicants must be non-Chinese citizens with a valid passport, must have attained a bachelor's degree, and if their mother tongue is not English, they must submit TOEFL iBT (100 points or above) or GRE (315 points or above) scores.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","English","Peking University","N/A"
"Physical Geography","Master","2 Years","RMB 33,000 per year","Applicants must be non-Chinese citizens with a valid passport, must have attained a bachelor's degree, and if from non-Chinese universities, must hold a degree from an accredited university. Non-native English speakers must submit TOEFL iBT (100 points or above) or GRE (315 points or above) scores.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","English","Peking University","N/A"
"Civil and Commercial Law","Master","2 Years","RMB 29,000 per year","Applicants must be non-Chinese citizens with a valid passport, must have attained a bachelor's degree, and if from non-Chinese universities, must hold a degree from an accredited institution. Non-native English speakers must submit TOEFL iBT (100 points or above) or GRE (315 points or above) scores.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","English","Peking University","N/A"
"Human Geography","Master","2 Years","RMB 33,000 Per Year","Applicants must be non-Chinese citizens with a valid passport, Residents of mainland China, Hong Kong, Macau and Taiwan who have emigrated to other countries and are applying to Peking University as international students must present valid passport or citizenship documents dating from before November 30, 2013, along with proof of cancellation of Chinese nationality. Applicants for Master's program must have attained a bachelor's degree and students who graduated from non-Chinese universities must hold a bachelor's degree from a university accredited by the Ministry of Education of China. Applicants whose mother tongue is not English are required to submit TOEFL iBT (100 points or above) or GRE (315 points or above) scores or other certificate to prove their English language proficiency.","TOEFL iBT or GRE","Peking University, Beijing, China","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","English","Peking University","No"
"Urban and Regional Planning","Master","2 Years","RMB 33,000 per year","Applicants must be non-Chinese citizens with a valid passport, Residents of mainland China, Hong Kong, Macau and Taiwan who have emigrated to other countries and are applying to Peking University as international students must present valid passport or citizenship documents dating from before November 30, 2013, along with proof of cancellation of Chinese nationality. Applicants for Master's program must have attained a bachelor's degree and students who graduated from non-Chinese universities must hold a bachelor's degree from a university accredited by the Ministry of Education of China. Applicants whose mother tongue is not English are required to submit TOEFL iBT (100 points or above) or GRE (315 points or above) scores or other certificate to prove their English language proficiency.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","English","Peking University","N/A"
"Biomedical Engineering Joint Ph.D. Program","PhD","5 Years","RMB 40,000 per year","Bachelor’s degree (B.A. or B.S.) in: Engineering, Math, Physical Science (Chemistry, Physics and other related disciplines), Life Science (with precondition that applicants make up required math and physics courses) or other disciplines with special approval from recruiting committee. Have taken Calculus up to differential equations (2 years) and Calculus based physics (1 year). All students must have taken the Graduate Record Exam (GRE). Students who do not speak English as a first language must have taken the (TOEFL) unless they have received a bachelor’s degree from an English speaking university.","GRE, TOEFL","Peking University, Beijing","Sep 1, 2026","Nov 30, 2025","USD 166","USD 219","English","Peking University","No"
"Theoretical Economics (Nation Development)","PhD","4 Years","RMB 32,000 Per Year","1) Applicants must be non-Chinese citizens, and have attained a master degree. 2) Competitive applicants should have good academic performance, strong references, and some research experience, with a senior position in a government agency; 3) Applicants whose native language is not English or whose college studies were completed in a language other than English, must provide evidence of English proficiency—TOEFL, GRE or IELTS.","N/A","Beijing","Sep 1, 2026","Nov 30, 2025","USD 164","USD 219","English","Peking University","N/A"
"Physics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Mathematics & Applied Mathematics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Chinese Language Studies Program","Non-degree","1 Semester","RMB 18,000 in total (About $ 2,515)","Applicants must be non-Chinese citizens with a valid passport, and have a formal education background at high school level or above, in good health, above the age of 18 and under the age of 45.","N/A","Peking University, Beijing","Sep 1, 2026","Apr 30, 2026","USD 57 to USD 113","USD 200","Chinese","Peking University","No"
"Theoretical and Applied Mechanics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Computer Science and Technology","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Information Management & Information System","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and interviews.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Chemistry","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Geography Science","Bachelor","4 Years","RMB 30,000 Per Year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Environment Science","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Psychology","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Biological Science","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Geology","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Archaeology","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Chinese Literature","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"History","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"International Politics","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Philosophy","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Sociology","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English.","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Politics and Administration","Bachelor","4 Years","RMB 26,000 Per Year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Law","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Economics","Bachelor","4 Years","RMB 26,000 Per Year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Peking University English Program","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Art Studies","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Humanities/Science: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Journalism","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Chinese Philology","Master","2 Years","RMB 29,000 per year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Linguistics and Applied Linguistics","Master","2 Years","RMB 29,000 per year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Theory of Literature and Art","Master","2 Years","RMB 29,000 Per Year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Comparative Literature and World Literature","Master","2 Years","RMB 29,000 Per Year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Modern and Contemporary Chinese Literature","Master","2 Years","RMB 29,000 per year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Ancient Chinese Literature","Master","2 Years","RMB 29,000 Per Year","Students are required to complete the curriculum within 4-6 years, fulfill the designated number of credits, conduct research, complete the doctoral thesis and defend it in front of a panel of experts.","N/A","N/A","Sep 1, 2026","Nov 28, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Scientific and Engineering Computing","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and interviews.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Informatics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Probability and Statistics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Astronomy","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Atmosphere Science","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Financial Mathematics","Bachelor","4 Years","RMB 26,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Microelectronics","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Electronic Information Science and Technology","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and interviews.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Intelligence Science and Technology","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Energy and Resource Engineering","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examinations including written tests and an interview.","Peking University, Beijing, China","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","No"
"Engineering Structure Analysis","Bachelor","4 Years","RMB 30,000 per year","Students are required to complete the curriculum within 4 to 6 years and fulfill the designated number of credits.","Entrance examination subjects: Chinese language, Mathematics, English","Peking University, Beijing","Sep 1, 2025","Mar 2, 2025","USD 164","USD 219","Chinese","Peking University","N/A"
"Civil Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, and other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2022).","Entrance Examination: Subjects of Written Examination for Science, Engineering and Management Programs: Mathematics, Physics, Chemistry, and English.","Tsinghua University, Beijing, China","Sep 1, 2023","Jan 10, 2023","USD 164","USD 219","Chinese","Tsinghua University","N/A"
"Architecture","Bachelor","5 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, with each subject scored over 60 points. HSK Level 4 is eligible too, but must improve to Level 5 within the first academic year. 4. Aged 18 or above (by September 1, 2023). 5. The conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","Attend Online Test: Required - CSCA","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Building Environment and Energy Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC.","Entrance Examination: Subjects include Mathematics, Physics, Chemistry, and English.","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Hydroscience and Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","Entrance Examination: Written Examination for Science, Engineering and Management Programs: Mathematics, Physics, Chemistry, and English.","N/A","Sep 1, 2025","Jan 10, 2025","USD 164","USD 200","Chinese","Tsinghua University","N/A"
"Urban and Rural Planning","Bachelor","4 Years","RMB 30,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Entrance Examination: Written Examination for Science, Engineering and Management Programs: Mathematics, Physics, Chemistry, and English.","Tsinghua University, Beijing, China","Sep 1, 2022","Jan 8, 2022","USD 123 (Non-Refundable)","USD 219 (Non-Refundable)","Chinese","Tsinghua University","N/A"
"Mechanical Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC.","CSCA Exam Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Automatic Manufacturing and Control Technology","Bachelor","4 Years","RMB 30,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Mathematics, Physics, Chemistry, and English.","Tsinghua University, Beijing, China","Sep 1, 2022","Jan 8, 2022","USD 123 (Non-Refundable)","USD 219 (Non-Refundable)","Chinese","Tsinghua University","N/A"
"Energy and Power Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) the following document(s): High school/University transcripts (in Chinese or English), Certificate of National/Regional Graduation Examination/Matriculation Examination, Results of international standard tests (e.g. SAT/ACT/A-Level/AP/IB/others) or International STEM Test (THUSSAT International STEM Test/ TIST/others), Other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, with each subject scored over 60 points. HSK Level 4 is eligible too, but must improve to Level 5 within the first academic year. 4. Aged 18 or above (by September 1, 2023). 5. The conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Exam Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Electronic Information Science and Technology","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Mock Test required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Computer Science and Technology","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, with each subject scored over 60 points. HSK Level 4 is eligible but must improve to Level 5 within the first academic year. 4. Aged 18 or above (by September 1, 2023). 5. The conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","Attend Online Test: Required - CSCA","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Environmental Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Test Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Automation","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC.","Attend Online Test: Required - CSCA","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Chemical Engineering and Industrial Biological Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, with each subject scored over 60 points. HSK Level 4 is eligible but must improve to Level 5 within the first academic year. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Exam Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Electrical Engineering and Automation","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. The conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Exam Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Biomedical Engineering","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through (but not limited to) high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. The conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC should be met.","CSCA Exam Required","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Chemistry","Bachelor","4 Years","RMB 30,000 per year","1. Foreign citizens, in good physical and mental health, friendly to China, and awarded a certificate of graduation from high school. 2. Outstanding academic performance. Proof should be provided through high school/university transcripts, certificate of National/Regional Graduation Examination, results of international standard tests, or other supporting materials. 3. Chinese language proficiency of HSK Level 5 or above, or HSK Level 4 with conditions. 4. Aged 18 or above (by September 1, 2023). 5. Conditions set by the Document No. 12 (2020) of Ministry of Education of the PRC.","Entrance Examination: Written Examination on Mathematics, Physics, Chemistry, and English.","Beijing","Sep 1, 2027","Feb 28, 2027","USD 113","USD 200","Bilingual","Tsinghua University","Yes"
"Business Administration-Accounting","Bachelor","4 Years","RMB 26,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Entrance Examination: Written Examination for Science, Engineering and Management Programs: Mathematics, Physics, Chemistry, and English.","Tsinghua University, Beijing, China","Sep 1, 2022","Jan 8, 2022","USD 123","USD 219","Chinese","Tsinghua University","N/A"
"Business Administration-Information Management and Information Systems","Bachelor","4 Years","RMB 26,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Mathematics, Physics, Chemistry, and English.","N/A","Sep 1, 2022","Jan 8, 2022","USD 123","USD 219","Chinese","Tsinghua University","N/A"
"Experimental Class of Social Sciences-Psychology","Bachelor","4 Years","RMB 26,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Extra exams are requested for some programs: Mathematics for Experimental Class of Social Sciences and Psychology.","Tsinghua University, Beijing, China","Sep 1, 2022","Jan 8, 2022","USD 123","USD 219","Chinese","Tsinghua University","N/A"
"Journalism and Communication","Bachelor","4 Years","RMB 26,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Written Examination: Basic Chinese Language, Chinese Writing, General Knowledge, and English.","Beijing","Sep 1, 2022","Jan 8, 2022","USD 123 (Non-Refundable)","USD 219 (Non-Refundable)","Chinese","Tsinghua University","N/A"
"Art History","Bachelor","4 Years","RMB 40,000 per year","Foreign citizens, in good physical and mental health; Awarded a certificate of graduation from high school; Aged 18 or above (by September 1, 2018); Good Chinese language proficiency: HSK 4 or above; Good English language proficiency: TOEFL/IELTS.","Chinese Writing, General Knowledge, Sketch, Quick Sketch, and Color Painting.","N/A","Sep 1, 2022","Jan 8, 2022","USD 123 (Non-Refundable)","USD 219 (Non-Refundable)","Chinese","Tsinghua University","N/A"
"Global Business Journalism (GBJ)","Master","2 Years","RMB 39,000 per year","Applicants must be non-Chinese citizens with a valid passport. Applicants for master's degree programs should have a bachelor's degree.","N/A","Tsinghua University, Beijing","Sep 1, 2022","Mar 1, 2022","USD 164","USD 219","English","Tsinghua University","N/A"
